,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
0,Rumah Makan Sipirok,4.5,2353.0,"Jl. Sunggal No.14, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20118, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJJfA_kTYuMTARgO1cw0HPo94,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHWmF0gD0ksBUvpKVDFPyFjCkuuWcK1eF6p6EtO-mzYk-28_6neU2-ZCPO-Z__v9XN5F6AfXW8jcA7qDhPJvihUdJ_lH8gMzQjJMQiI274-2_szU-yx-qEwfNWh9i4rNnKF82p=w175-h92-k-no,Wisata Kuliner
1,Wajir Seafood,4.5,12605.0,"Jl. Kol. Sugiono No.3 i, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJeZ9DXsoxMTAR96vCFq0Vu3Q,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDAorrcaSvOfyVG3Jjss0fUTGFIpaqjjlNyG3O8uDPzespXL_XvBiA0Bkhm8kPcFqnWok2oN5c2E37YSi_DFwS7cfNmpb3mlYccgUd8Y7pu9tJk6JEa_UFeckhwdBP7_PqOh1q=w163-h92-k-no,Wisata Kuliner
2,Sate Memeng,4.2,2098.0,"Jl. Irian Barat No.2, Gg. Buntu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20136, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ43e0IMgxMTARcsNuSOnZbg0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFhc_9iv5IFki5PkLL1i3IIqd0xKjbBbvnsJLFIjGVFn9RlspIHebY0rIsHnA1OyQwt6NOkzVpjIyVlFIJLA-z6qc35yWhWondzXHidAjlX3pJSmFVdXU8kDFLYpIpV4X3X2kb=w80-h106-k-no,Wisata Kuliner
3,Sawah Lukis,3.9,906.0,"400 meter dari Kakuta, Jl. Pertamina, Cengkeh Turi, Kec. Binjai Utara, Kota Binjai, Sumatera Utara 20761, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJfRqlvX4rMTARQhUkfgJbH7w,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqGiudUmWZqK3kdztgCrXd55MPrWDQCDeH0BQMmUc_yYwZjHLWQUX8B0mNn_ckU2R7xtCIt_mqr5nEHrITjto1As6Brio6BZVlbAoCYXupjPJOu5TJQudoSUxlUicamJD9SLU2cqw=w163-h92-k-no,Wisata Kuliner
4,Mie Aceh Titi Bobrok,4.3,9824.0,"Jl. Setia Budi No.17 D, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJW4rCJTcuMTAR0IuV2imT5mo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npelz7EzeM3k_mVdbVsxOZ0f3U4MvNi-p10myGNdJGeWshFUnFD77NVMc2hF8gkYNVgPQo-awK2ybiaz79VnxyI2xtZv2F6sO9qf5aTYZdw7wMP8iYrv2ZjFk7vfzunyx11S_w8=w163-h92-k-no,Wisata Kuliner
5,Rumah Makan Sinar Pagi,4.3,4405.0,"No.2D/1, Jl. Sei Deli No.2D/1, Silalas, Kec. Medan Bar., Kota Medan, Sumatera Utara 20236, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJlUFgLcUxMTARfhBA-QwuVb0,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np3hjBCgj0JNH7hRgriduPIXXsiua80D95BViIm6un7VUFvulQer-3qmHoV8Cmcmx4TJwWx8rK-Kotd5K-6bcDsuUnFKpVhxx3eso2-R5DDEUVcYwgsNXtb-iiA2Bb9c2KrRqKJTQ=w163-h92-k-no,Wisata Kuliner
6,Arrasyiid cookies cake snack,4.3,5197.0,"5GR2+QX3, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22153, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJVV95hPMCMTAR7B-oW3liXkg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noU5g_aFsQUfs5VE-J8FD__vNkZHfkoIpTlpIZsqpc-S-gZEF-Y8Ys5eetXYLmUiH0iY6F1F7uQQhCsOOdNxGu8OoIGkhcGrb08dsf6cJWHmVTVAKekDCq42rZ8EeR3y4YISSZD=w163-h92-k-no,Wisata Kuliner
7,Nasi Goreng Wak Ribut,4.4,1447.0,"Jl. Multatuli No.83, Hamdan, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJF-owPDYwMTARx4ed7MD7ptQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKdrgHseOGv9BnbDNL9WjYEqhz-417N4ALkD7EzknsqsNHfbxfmO9xfclJm2Tovzw2yOIP0OtLUpXOIx3cmYKdbrKdLDs8a84DGex2tbXuYTTFcRtXKKF2HGIkPx8EXmFFOPqE=w122-h92-k-no,Wisata Kuliner
8,Rumah Makan Tabona,4.6,5556.0,"Jl. Mangkubumi No.17, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ3VkPs8sxMTARO-CUXExw20o,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npUYJuJhPNvmXjxRxJARCiO1UU0yv_XAM9UCHl-IBsLHrtG_MV0tpBMjhhPZj9MMib_Y9muhW25OUPCPU5HczVGwXkOtBpyVMiycwjcGTewHxKdagaSUdkYrBUHSSc7JMopNWv8IQ=w80-h106-k-no,Wisata Kuliner
9,Budaya Resto,4.4,6378.0,"Jl. Medan - Pematang Siantar, Ujung Serdang, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJg9TH0PE5MTAR3XkgPN8GfKg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np8--DWZ5kNSevDbxYs2UdN0wDS0PLwfcIDyg2QlkQhn98d8QqIhUwgxt9-JM3raxhq5RYffNAigJOojzDofdSMNTUZasx0xLjZoAdvMoEvJL23OU4QxUoHf41x8XXr2qqD-DdL=w163-h92-k-no,Wisata Kuliner
10,Kuliner Pagaruyung,4.0,41.0,"Jl. KH. Zainul Arifin No.136, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20112, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJpVjyoaMxMTAR_0BheYvxrO8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0XN9KtYun3diO4qV7NN8pgS39NFAo7DQ4TEhyq-Pku3nju4VRnYUszojFG1Ffk9TVEJoK4j0H8fE2QqO0LpyCOIApMlUspYWxr3Ci4_pKV73qeb4f5fkIyEUK0MsEGW53RzGf7A=w122-h92-k-no,Wisata Kuliner
11,Wisata Sawah Pematang Johar,4.3,1216.0,"Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgRX8qv0zMTARklVWHQ2R1w4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHH0-Hr5KlH-7rwOySib_15T7zW_Q7OIoSC2H1jWwtu1kaoQ1GPI21q9aKOysdwr8QqSb5raZkLCQ5uVjkASNokqCRz1GnDaD0vXHF3XM-t_fy4PsGJZKfeQ7G23yLfBNo6jfB=w122-h92-k-no,Wisata Kuliner
12,KAKUTA -Binjai,4.4,524.0,"Jl. Pertamina, Cengkeh Turi, Kec. Binjai Utara, Kota Binjai, Sumatera Utara 20747, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJF8gkm-8rMTARlbu3tY3-Y_o,https://lh3.googleusercontent.com/p/AF1QipNWvvpU70HcqCqPMft91vV2FyXrarEQ37zsYerq=w80-h142-k-no,Wisata Kuliner
13,Simpang tiga kuliner Kampoeng lama,3.8,5.0,"Denai lama dusun 1 simpang 3 Simpang 3 Kampoeng lama, Kec. Pantai Labu, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJTfGvea5LMTARJg7bFwHYDk4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0Z-Mw8FDyJfxZPRu65nVmjiiWtCQZos659EOeMnaqRO0gDwLPtba9QjuY3aE7dJgcjgq_mmX7JA7xDf-RCOXFkwFmy0-Q_sVa2yWfJXvlZe1ybM7jXBAnX6PW1OrsIzHVSX4j=w153-h92-k-no,Wisata Kuliner
14,Wisata Kampong Lama,4.6,149.0,"Jl. Utama Dusun II, Denai Lama, Kec. Pantai Labu, Kabupaten Deli Serdang, Sumatera Utara 20553, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJfUGqSjJNMTARG87jamgOELo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOOPCEG7RxupK6ItUWa08Dih-U4fBsR4vjC6PLhycFNv3Y5ghxWQljRaeF5FQgKHsDtT4DOLLLpS6rd23veoOGffIPwGOZuzQJnmVM-5kwsjOFnL-i9OY0_G0WZlXURcOY9O6k=w122-h92-k-no,Wisata Kuliner
15,Wisata kuliner mangga Bridge,4.3,3.0,"M5W4+V55, Unnamed Road, Namu Sialang, Kec. Batang Serangan, Kabupaten Langkat, Sumatera Utara 20852, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ6beXcNvLMDARZEQmMxqqPPM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZbrglnUd41Z08XtrzVfKQbYqkKggFfHi035NpzYfggETDtkaIt1o_3a6b_u907jmbzx4AVZi3MpWtTHfLKARH5Yx2Xt2hg_zQPnf2apmk07cfhzKaGYM7JOjxSE2gX4iFP_T9Xw=w80-h106-k-no,Wisata Kuliner
16,Joglo28 kuliner,4.7,60.0,"HFX8+3CW, Jembatan Rambutan Ujung, Berngam, Kec. Binjai Kota, Kota Binjai, Sumatera Utara 20712, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJX9XS3PrXMDAR9M2XdwkLHOg,https://lh3.googleusercontent.com/p/AF1QipNaSi48UNGiJqrWTiiX0bQ9ATrgRKFXyc-54p8t=w80-h106-k-no,Wisata Kuliner
17,SM Raja Kuliner,4.2,177.0,"Jl. Sisingamangaraja No.17, Kotamatsum III, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJs69Tef5PERARPD2N-0sMcAc,https://lh3.googleusercontent.com/p/AF1QipPnwTBq1AH5eCnMimCwqJmD5YfkRrpFJxZHMnLG=w122-h92-k-no,Wisata Kuliner
18,Nasi Goreng Pemuda,4.4,3459.0,"Jl. Pemuda Baru III, A U R, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20151, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJV-5NY7UxMTARfcz8Mw_K9vg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nopUBDHkNEDEy8y1FNnofJTz1ylpM71BngCjYKcTVMR5m2hqRJdP59gXyrsqJj7WVNUmF7yhnYQE3xDym9WAIC32F0gzNBNX45x_-RuhhFZtKu9sKayhSMxQ6NgnOIg2fA5x2w=w122-h92-k-no,Wisata Kuliner
