,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
0,Pasar Ikan Lama Medan,4.4,7264,"HMQJ+496, Jl. Stasiun Kereta Api, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ91MH6MkxMTARZ_bv8uMA7V4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVYiDhp1WGtX7YE8uvbO9i38S6gi_vhyosidV1acYhiRqTu-iYxAfVOI1Oif3DJ9DBwYW95JP_cqFANamjglgvrsl3lHkpCLBU3H2BRGvGqb2YgbVJxD-Z5-TqLZytgGS7eRGP=w163-h92-k-no,Wisata Belanja
1,Wisata Sawah Pematang Johar,4.3,1216,"Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgRX8qv0zMTARklVWHQ2R1w4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSa1lIit4VjfxQa9ii-OeMwGcoS1jZzB6rt4F6Hc1-7zetdujDnXBoP3SlgIqL48sa_7tmC_UbcqTtdHOss0WH5E2OOYUYrziLgelRMEl5w04faZVT4L6DZeE2WQ4Ps_QWng4W=w80-h122-k-no,Wisata Belanja
2,Pasar Tomok,4.4,1598,"MV27+R3C, Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJcT998pPpMTAR-DMR2FYpvxQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqnVJNurJoJ2GiTdLyjSTDSYh_QleJRSnrVNfy4VHNEpL4CFGlhNCOq0bsEzpnuzl9fQaceu120qZ0syuocCRdTzjMIPBQXsGd_LwgxRJWHbBEwMVmQZrKTJQ9pnxEHhAr5BCQQ=w80-h106-k-no,Wisata Belanja
3,Tjong A Fie Mansion,4.6,3279,"Jl. Jend. Ahmad Yani No.105, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXH1A_b3-jiVyot18Z41tq3E5PuEhmfUiSBmxA_FQ_s80kXs7jlJREbunLSREs8KV7Kz7y3PHevHhmF0G7QhK0BFocdj0oU6D_xObxp8niySV2YTmJUllSG1BKnFi4hxU2mpNjEg=w122-h92-k-no,Wisata Belanja
4,Yuki Simpang Raya,4.1,4874,"Jl. Sisingamangaraja No.77, Kotamatsum III, Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJdabCBEwwMTARhjFyvPjpG0Y,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnfFl9-3_hbSH47NTA-jz5zqJOmA6IPyzhwbIBiEW8dVkCx9VymEAxJNyCkng2qc9e7r1uUgDCO6jFnu81D3ZcOlvlp8XgxhJ8YvInXjrI3T-ax-L30Dhqla1uTsor_CRkqBCKqw=w163-h92-k-no,Wisata Belanja
5,Museum Negeri Sumatera Utara,4.5,2768,"Jl. HM. Joni No.51, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20217, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJH0WmUVowMTARis9K2WYgan4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9krJojYYiJ-ActLp4xCkA154ml78pnJaOf6qyT-qSDyLMVkyFgXRYh0XH5U66SvsxBV4R-FBUKT6I0hDdcf1c5jyim5V_BoNZNdlZzv1XLhL9TGFyRbm5dQKZ3PGY_so6PFy-mA=w163-h92-k-no,Wisata Belanja
6,Plaza Medan Fair,4.5,24427,"Jl. Gatot Subroto No.30, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJC1NNodkxMTARN2LfBIswp9Y,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIIuA0Zr0ZlEtwWTbQ7d4K1Pq--zqNoNXqwC4R19FipCkMQYy3RaTlTMkYchMNICgb07uC5laOZ-aXdNnbBqQdOaORJ_XnEvxf188GkmjNV5DoEgoY4UzNZWtD_o91yLwRiEm7=w122-h92-k-no,Wisata Belanja
7,Medan Mall,4.3,15357,"Jl. M. T. Haryono No.8, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20212, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJfUn_3rYxMTARVw_rYkxCvhk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIoLLAZvGreazHzDhm42VHEb_3WDooINR2RAWFcestT8letuLeo6pjjfLuw6sCEe83Zd8U-iuwI5hZCG5HanmA8m2YoTQu4jrGZzOTPZfXKw7Vo7YiUmQ3nhq5B0gSwzlRw6r0=w163-h92-k-no,Wisata Belanja
8,Bukit Indah Simarjarunjung,4.3,7215,"Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJzSnEJnO-MTARtXqlJzVKTpM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrWHTINRALuFxmNmtUJcOrv5z1aomgTjfw-z8HjFF5gAwIao9VWjp_SExoYil6CH4Q1o_SFpIFjdTUIGSquJWd3yPLtQaN-Ui4wLjZw0GftdMrQhaGF1UPaPdcRwL1oOhnJYDVj=w80-h106-k-no,Wisata Belanja
9,Pasar Petisah Medan,4.2,8868,"HMR9+J22, Jl. Kota Baru 3, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJSeLpaNoxMTARf8nDEbaWmdg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np22uwKA3f4GZKe7QkiHPg_SRrUY5Fjbn7kV_unUsJp8uVgGjhRD2SM9gX21g4t-XuYqf-sohsZikxnPm4LaE1zbjxJZjFf0vizfdpvjTgNm9E4YMWV0VsCj1NsIeWKlr3vhR0x=w80-h106-k-no,Wisata Belanja
