,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
0,Museum Negeri Sumatera Utara,4.5,2768,"Jl. HM. Joni No.51, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20217, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJH0WmUVowMTARis9K2WYgan4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQwsLWKrU9uAPgaYqSSbrvnr4wjvH0XWmyIpizFN4OdoIF3KWh7bOHHBRoyebwzlpQ8brIdsdKUqytG8x_oB9mO3TrGw2q1rjE_BXx9s616eMMBmWZEnpKy2t7L8Ww_duGzlnbpw=w123-h92-k-no,Wisata Budaya dan Sejarah
1,Tjong A Fie Mansion,4.6,3279,"Jl. Jend. Ahmad Yani No.105, Kesawan, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZ4ThickxMTARvvjDDIvvrcw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRI3Ilzk3KtoSodgIDvSjdSyaYbAlj6gLh1vpR-bBroUOZaFpmdSQQYgRqUnooDZA1hHKSflejwBtooJcADfos2UO6nwfcZVvogGTPmZF4FUfpTOdIL5VF-oXsce-CD6WDqejY=w122-h92-k-no,Wisata Budaya dan Sejarah
2,Desa Budaya Lingga,4.5,383,"Lingga, Kec. Simpang Empat, Kabupaten Karo, Sumatera Utara 22153, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJF7iVlz7-MDARxP9akOHKKzg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noowvG9auBYQHYrWPd7VwJFrJqlUthBanPTBQ7afrm0hnrTeSAH7NxRVoPrUiEMVrqcWB2VuMXzTkH-fLtXViz645-DJQhLtd4D58Hryn7FccVgbrye5VP2n1COO2lOHKEc4Tkl=w163-h92-k-no,Wisata Budaya dan Sejarah
3,Tugu Makam Raja Silahisabungan,4.5,888,"RG7H+29V, Jalan Tugu Makam Raja Desa, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara 22284, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJwTlJ34m0MTARuHB9W8zbURs,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuih5YyFDIXSzpcSgRmb_6bOJoYUrNZXIC4DDmY5D8W-xj6_lF0ghVwYJUELpYMk73FQuG-W0a6z9FoKUbNNUM--L864CXzs5lZF-BlG57oXAn0RvkC9w-7-KwNq0u1DKuDKGG=w122-h92-k-no,Wisata Budaya dan Sejarah
4,Tugu Perjuangan,4.4,383,"RQ6H+4R8, Togu Domu Nauli, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ9XSsk5G-MTARlkVz5xgPWBM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrV3Af4dYqVgFsHa_Jpm6q7CQb4uV8gOxIvnedDdUDu2yfi84xyI5t2BJb5QHKMtIZGwCETcjX510xqri7-fDgy4K9dz2J0y2owpC8UAb-5CMWw7f2aKkMKtuQQ2dEqD17i8kg=w138-h92-k-no,Wisata Budaya dan Sejarah
5,Cagar Budaya Situs Benteng Putri Hijau,5.0,3,"FMMF+5JW, Deli Tua, Kec. Namorambe, Kabupaten Deli Serdang, Sumatera Utara 20355, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJt04KGAA7MTAR_Waaf06shVU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0SPzBWPBLRUu-ID6Q2VCjn0pBTq61kJnI0iMlL6DhOR5qjbHuTL5_FE_NsNxXkY2e9Xl9TU-NQkFIB4Y3GWlg9o8pC5tn2UXaAYEKb8rVnPhGuoH3KhGAkajgfUyeohlqx2Nx=w80-h106-k-no,Wisata Budaya dan Sejarah
6,Taman Budaya Sumatera Utara,4.1,51,"Jl. Perintis Kemerdekaan No.33, Gaharu, Kec. Medan Tim., Kota Medan, Sumatera Utara 20232, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJBcD3DnIuMTAR6UGl8lnpfFE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6-I92Bh2fbMCxW34LN5hxi1OX1zvUbGvGcuVb2DvEGHSk2_HUAvVHIytGJYy_otjNep62h1hY2MbAHMdujk012jt5f4RElwXxeVo9vxocb-85UdlrojtkG4lzdR8gbdmIC8iwFA=w122-h92-k-no,Wisata Budaya dan Sejarah
7,Tugu Kol,4.3,2193,"5GQ5+HHV, Jl. Veteran-Berastagi, Tambak Lau Mulgap I, Berastagi, Karo Regency, North Sumatra 22152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJj6WNCvMCMTAR63nMyNcY9C8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRGhwEv43I4oJwNyTLvyfuPJxXGwLbQy4J_bHoqNTHrGIUuLQhfXHLzFaQMp1brI1cfG10n60YPh3RSl8ocNwRbsQ1rDE__e12QDSQKQM3fV0mLBRqMDjBxL9NA9S1V0YM0ZXQ3g=w122-h92-k-no,Wisata Budaya dan Sejarah
8,Rahmat International Wildlife Museum & Gallery,4.6,2858,"Jl. S. Parman No.309, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ1dAecNAxMTARgTc1MDi9n3g,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAx3qO1dopyCR0IVCgXWgDPp2VmLVbPoj6JxOe5bzXwc1y6hkdVDmtHcuZqOZxMDcSJxxslIWQ67Dq5BYX22Ubbe4ZlMa71MxO9I2nC2ewgTEujWB1_qM7KW2WiRucUVGV-8bqBw=w80-h106-k-no,Wisata Budaya dan Sejarah
9,Museum Perkebunan Indonesia (MUSPERIN-1),4.5,464,"Jl. Brigjend Katamso No.53, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20215, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJLYU6BUkwMTARWh0rUZ7Vvas,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzkb_C1kgtFBXUSDWVLcrwtxxtbPscGjhGcLVL3_pLhtZJvZa8uGAtlaH2bn3T3KKftNfsLxvLe_mM6RdddamEWrBNbvRjwbHOSqyQVD0Byp20H5DlyQ89sMwJNadFvr8pjMot=w174-h92-k-no,Wisata Budaya dan Sejarah
