,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
0,Medan Edu Fun,4.8,119.0,"Tuntungan I, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZ6WaAqsnMTARBCZ7rx8kstk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noE53VPPMR5N1lzCsl9YJ4HBQ_-rA8vJr9FXepHR7b_pSRuO-N0hJce1aqxNlKnJ07a3NmQWCGi0vXGQm3UCvoDpztAwsnr2ZFRKG4bOPtNk62-qbcQpvfi4-FJPculvXCLsyBP1A=w122-h92-k-no,Wisata Edukasi
1,Prima Wisata Edukasi Desa Selemak,4.2,248.0,"Jl. Ustd. H. Abdul Khadir Nuh, Klumpang Kb., Kec. Hamparan Perak, Kabupaten Deli Serdang, Sumatera Utara 20256, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJwbXj8fzTNjARppwaKE4znHA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2CFJU5VL3dFU4v_Z43bpIgH7q-1g9cmZ3IBCWpSxoZF08CoNGMMYHP_iOYfxGwByK7ScLJWwUn5-lvA2_DFttgGwyZfupcHl1Fz4D88C43Lwq26nKm924psIkuX4EoANJrHYF=w122-h92-k-no,Wisata Edukasi
2,Avros Park,4.4,1807.0,"Jl. Avros No.60B, Kp. Baru, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20218, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJBYPxkmswMTARvvZxIMuf9pI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nodDhICrRVXCQ00mUiPkRTeUJ8tjjvkfuky6bAveeI4We8YKS_-JFZVzHLpkF5NJxEtGbT3Iqh_AreVzMUjuTipBBnfbKxdAEumkKTroten-hrQtkuVmGN00R-dbY8g5GEysVOv=w164-h92-k-no,Wisata Edukasi
3,Dusun Kreatif,4.5,585.0,"Jl. Besar Delitua Biru Biru, Mbaruai, Kec. Sibiru-biru, Kabupaten Deli Serdang, Sumatera Utara 20358, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJNdRPel46MTARtAsErypbFAM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4SEALB-U-koohDJTJ91ns8DziIYO4J7Z6W0TiIbCdBtVEhY_YFIZeFdxE1b-694XhOZ_lTg5_GT-1gUuAOibZhOiWjNLERPyslqIY6WHQRme7xiuAJnV2Z8y3Y4CoaK-1z-Zn=w122-h92-k-no,Wisata Edukasi
4,Kidsnesia (Pusat Edukasi TK & SD),5.0,12.0,"Komplek Puri Zahara 2. 3, Jl. Bunga Rinte No.Raya Blok R, Simpang Selayang, Kota Medan, Sumatera Utara 20135, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJZz6zAuIlMTARysmjn_zS0pg,https://lh3.googleusercontent.com/p/AF1QipP8TmtL8MOZvgt9zzUXs3oqJShgVOgn8BvyusY=w122-h92-k-no,Wisata Edukasi
5,Wisata Sawah Pematang Johar,4.3,1216.0,"Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgRX8qv0zMTARklVWHQ2R1w4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrAayRWBn0cwKzHagJvundOmW3j3c2-bNsLa8wHm9Lk-a8jE8QfPW8rfKBg7nWggsQxi5xC-od6IUljyfnm2VEu5RdPNCFnFSi9LdP0ri-xPs40-21RQJqNFDNCgul6kIHfqxfv=w163-h92-k-no,Wisata Edukasi
6,Kebun Efi,4.4,3747.0,"Jl. Kabanjahe - Siosar KM.13 Siosar, Sukamaju, Kec. Tigapanah, Kabupaten Karo, Sumatera Utara 22171, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJp26nEMRUMDAREmTzWVgwizM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSA0s-z8UMahUsME_r31jghUJ8FmnoiZsjt_oDMBrlLFKS_9vRuJTJGnUAT9h-Z6Ajty9tF3od84Owc0eOIS-cKz4et3q4yTOC_Ys1hruiqQXsEQwYzXomqy-BeBJqizKqTRg=w80-h106-k-no,Wisata Edukasi
7,Tempat Edukasi TK (Saparunesia Trip),5.0,2.0,"Perum puri Zahara2, Jl. Bunga Rinte No.Raya blok R 3, Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara 20135, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ_ZXxj2olMTARPYArcNrr0aI,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X2jndtln_fXDnm4BCT_vUw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.33109&pitch=0&thumbfov=100,Wisata Edukasi
8,Rahmat International Wildlife Museum & Gallery,4.6,2858.0,"Jl. S. Parman No.309, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20152, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ1dAecNAxMTARgTc1MDi9n3g,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPMpTeOUHMpVbeNNUOesvqA8MS-zcKzx0JpMNpfVVI2BoIgucD-Vm2SExXOuKiTd0JCu0SID3-_yASPqdKYcvBpLzF5cAEB0W2IgVvTmkA-QAv0EfLPoWUKLCSucq2I9LCPXJE=w184-h92-k-no,Wisata Edukasi
9,Central Park Zoo & Resort,4.5,3781.0,"20, Jl. Jamin Ginting No.Km, RW.4, Sugau, Kec. Pancur Batu, Kabupaten Deli Serdang, Sumatera Utara 20353, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJA7rMLmojMTARzMK3KUm0dcw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npHFFuwjT7KCeTD_wjYBtJGrtC9L6taqCOKrQJYwwy3TxWBPlsT1iesinDX6mR0BVzfihABnH21AaF4B1a26KVJIfvbXvFkm6VwHJX62J9Dy5R3biz-YT8sX8yD355j3U51Bhzuew=w138-h92-k-no,Wisata Edukasi
