nama_tempat,deskripsi,kategori
Wisata Alam Datuk,"Pantai reklamasi terpanjang di Sumatra, menawarkan pemandangan indah, beragam wahana, dan spot foto menarik.",Pantai
WISATA ALAM KASIH,"Kawasan wisata religi dengan keindahan alam, pemandian belerang, dan tugu toleransi di Minahasa.",Wisata Religi
Taman Wisata Alam Sibolangit,"Cagar alam sejak 1938, menawarkan pemandangan pegunungan indah, flora fauna langka, dan udara sejuk.",Cagar Alam
Wisata Alam Sikabung-kabung,"Pemandian alam dengan air jernih, biru, sejuk, dan panorama alam natural di Deli Serdang.",Pemandian Alam
Bukit Indah Simarjarunjung,"Destinasi perbukitan dengan pemandangan Danau Toba menakjubkan, spot foto instagramable, dan fasilitas lengkap.",Bukit
Bukit Sipisopiso,"Gunung di Sumatera Utara, kerap disebut Gunung Tanduk Banua dengan pemandangan pegunungan sekitar.",Gunung
Air Terjun Sigura-Gura,"Air terjun tertinggi di Indonesia dengan ketinggian 250 meter, bersumber dari Sungai Asahan.",Air Terjun
Taman Alam Lumbini Berastagi,"Tempat wisata religi Buddha terinspirasi Pagoda Shwedagon Myanmar, pagoda tertinggi di Indonesia.",Wisata Religi
Wisata Batu Katak,Destinasi petualangan di Taman Nasional Gunung Leuser dengan lanskap karst unik dan menarik.,Goa / Ngarai
Kawah Putih Dolok Tinggi Raja,"Kolam air panas belerang berwarna biru dengan batuan kapur memukau, terletak di tengah hutan.",Kawah
Pemandian alam Bah Damanik,"Pemandian alami dengan air jernih segar, dikelilingi pepohonan rimbun, dulunya tempat raja.",Pemandian Alam
Wisata Sawah Pematang Johar,Destinasi wisata edukasi dengan panorama alam persawahan yang asri dan menawan.,Agrowisata
Air Terjun Sikulikap,Permata alam tersembunyi di Sumatera Utara dengan keindahan alami dan pengalaman memukau.,Air Terjun
TAMAN WISATA DANAU SIOMBAK MARELAN,"Danau buatan luas cocok untuk memancing dan wisata keluarga, fasilitas bermain anak tersedia.",Danau
